Subject	Trial	allSample	Count	FixP	Condition	Item	Lang
j1	5	400	0	0	Targ	5	L2
j1	6	400	132	0.38	Eng	2	L2
j1	8	400	0	0	Targ	1	L2
j1	9	400	0	0	Jap	7	L2
j1	10	400	138	0.34	Jap	3	L2
j1	12	400	0	0	Unr	8	L2
j1	15	400	166	0.41	Eng	6	L2
j1	18	400	0	0	Unr	4	L2
j1	20	400	0	0	Eng	10	L2
j1	21	400	81	0.2	Unr	16	L2
j1	23	400	0	0	Jap	15	L2
j1	25	400	93	0.23	Unr	12	L2
j1	26	400	53	0.14	Jap	11	L2
j1	29	400	0	0	Eng	14	L2
j1	31	400	93	0.25	Targ	9	L2
j1	34	400	166	0.42	Targ	13	L2
j2	4	400	59	0.15	Eng	10	L2
j2	5	400	207	0.52	Unr	16	L2
j2	7	400	233	0.58	Jap	15	L2
j2	9	400	0	0	Unr	12	L2
j2	10	400	0	0	Jap	11	L2
j2	13	400	0	0	Eng	14	L2
j2	15	400	7	0.02	Targ	9	L2
j2	18	400	0	0	Targ	13	L2
j2	21	400	0	0	Targ	5	L2
j2	22	400	128	0.32	Eng	2	L2
j2	24	400	0	0	Targ	1	L2
j2	25	400	0	0	Jap	7	L2
j2	26	400	0	0	Jap	3	L2
j2	28	400	0	0	Unr	8	L2
j2	31	400	0	0	Eng	6	L2
j2	34	400	0	0	Unr	4	L2
j10	4	400	8	0.02	Eng	10	L2
j10	5	400	165	0.41	Unr	16	L2
j10	7	400	33	0.08	Jap	15	L2
j10	9	400	0	0	Unr	12	L2
j10	10	400	139	0.35	Jap	11	L2
j10	13	400	140	0.35	Eng	14	L2
j10	15	400	36	0.09	Targ	9	L2
j10	18	400	153	0.4	Targ	13	L2
j10	21	400	205	0.51	Targ	5	L2
j10	22	400	214	0.54	Eng	2	L2
j10	24	400	400	1	Targ	1	L2
j10	25	400	116	0.29	Jap	7	L2
j10	26	400	0	0	Jap	3	L2
j10	28	400	256	0.64	Unr	8	L2
j10	31	400	0	0	Eng	6	L2
j10	34	400	0	0	Unr	4	L2
j11	5	400	236	0.59	Eng	5	L2
j11	6	400	46	0.12	Jap	2	L2
j11	8	400	120	0.3	Eng	1	L2
j11	9	400	49	0.12	Unr	7	L2
j11	10	400	0	0	Unr	3	L2
j11	12	400	391	0.98	Targ	8	L2
j11	15	400	0	0	Jap	6	L2
j11	18	400	96	0.24	Targ	4	L2
j11	20	400	216	0.54	Jap	10	L2
j11	21	400	386	0.96	Targ	16	L2
j11	23	400	143	0.36	Unr	15	L2
j11	25	400	0	0	Targ	12	L2
j11	26	400	0	0	Unr	11	L2
j11	29	400	0	0	Jap	14	L2
j11	31	400	0	0	Eng	9	L2
j11	34	400	110	0.28	Eng	13	L2
j6	4	400	227	0.77	Unr	10	L2
j6	5	400	0	0	Eng	16	L2
j6	7	400	223	0.56	Targ	15	L2
j6	9	400	0	0	Eng	12	L2
j6	10	400	0	0	Targ	11	L2
j6	13	400	128	0.32	Unr	14	L2
j6	15	400	113	0.28	Jap	9	L2
j6	18	400	164	0.41	Jap	13	L2
j6	21	400	22	0.05	Jap	5	L2
j6	22	400	99	0.25	Unr	2	L2
j6	24	400	92	0.23	Jap	1	L2
j6	25	400	0	0	Targ	7	L2
j6	26	400	0	0	Targ	3	L2
j6	28	400	185	0.46	Eng	8	L2
j6	31	400	0	0	Unr	6	L2
j6	34	400	0	0	Eng	4	L2
j7	5	400	0	0	Unr	5	L2
j7	6	400	184	0.46	Targ	2	L2
j7	8	400	0	0	Unr	1	L2
j7	9	400	0	0	Eng	7	L2
j7	10	400	0	0	Eng	3	L2
j7	12	400	76	0.19	Jap	8	L2
j7	15	400	266	0.67	Targ	6	L2
j7	18	400	121	0.3	Jap	4	L2
j7	20	400	0	0	Targ	10	L2
j7	21	400	0	0	Jap	16	L2
j7	23	400	92	0.26	Eng	15	L2
j7	25	400	0	0	Jap	12	L2
j7	26	400	116	0.29	Eng	11	L2
j7	29	400	249	0.62	Targ	14	L2
j7	31	400	0	0	Unr	9	L2
j7	34	400	9	0.04	Unr	13	L2
j8	4	400	0	0	Targ	10	L2
j8	5	400	16	0.04	Jap	16	L2
j8	7	400	344	0.86	Eng	15	L2
j8	9	400	0	0	Jap	12	L2
j8	10	400	165	0.41	Eng	11	L2
j8	13	400	57	0.14	Targ	14	L2
j8	15	400	0	0	Unr	9	L2
j8	18	400	0	0	Unr	13	L2
j8	21	400	249	0.62	Unr	5	L2
j8	22	400	290	0.73	Targ	2	L2
j8	24	400	173	0.43	Unr	1	L2
j8	25	400	0	0	Eng	7	L2
j8	26	400	128	0.32	Eng	3	L2
j8	28	400	275	0.69	Jap	8	L2
j8	31	400	178	0.44	Targ	6	L2
j8	34	400	42	0.1	Jap	4	L2
j9	5	400	400	1	Targ	5	L2
j9	6	400	148	0.37	Eng	2	L2
j9	8	400	384	0.96	Targ	1	L2
j9	9	400	75	0.19	Jap	7	L2
j9	10	400	0	0	Jap	3	L2
j9	12	400	0	0	Unr	8	L2
j9	15	400	0	0	Eng	6	L2
j9	18	400	0	0	Unr	4	L2
j9	20	400	0	0	Eng	10	L2
j9	21	400	150	0.38	Unr	16	L2
j9	23	400	194	0.53	Jap	15	L2
j9	25	400	190	0.47	Unr	12	L2
j9	26	400	1	0	Jap	11	L2
j9	29	400	211	0.53	Eng	14	L2
j9	31	400	0	0	Targ	9	L2
j9	34	400	67	0.17	Targ	13	L2
j12	4	400	154	0.38	Jap	10	L2
j12	5	400	1	0	Targ	16	L2
j12	7	400	123	0.31	Unr	15	L2
j12	9	400	239	0.71	Targ	12	L2
j12	10	400	144	0.36	Unr	11	L2
j12	13	400	227	0.57	Jap	14	L2
j12	15	400	78	0.19	Eng	9	L2
j12	18	400	2	0.01	Eng	13	L2
j12	21	400	176	0.44	Eng	5	L2
j12	22	400	262	0.65	Jap	2	L2
j12	24	400	102	0.3	Eng	1	L2
j12	25	400	2	0.01	Unr	7	L2
j12	26	400	0	0	Unr	3	L2
j12	28	400	400	1	Targ	8	L2
j12	31	400	0	0	Jap	6	L2
j12	34	400	59	0.15	Targ	4	L2
j14	4	400	188	0.47	Unr	10	L2
j14	5	400	0	0	Eng	16	L2
j14	7	400	249	0.62	Targ	15	L2
j14	9	400	0	0	Eng	12	L2
j14	10	400	0	0	Targ	11	L2
j14	13	400	143	0.36	Unr	14	L2
j14	15	400	0	0	Jap	9	L2
j14	18	400	105	0.26	Jap	13	L2
j14	21	400	5	0.01	Jap	5	L2
j14	22	400	105	0.26	Unr	2	L2
j14	24	400	107	0.27	Jap	1	L2
j14	25	400	179	0.45	Targ	7	L2
j14	26	400	193	0.48	Targ	3	L2
j14	31	400	114	0.28	Unr	6	L2
j14	34	400	110	0.28	Eng	4	L2
j15	5	400	0	0	Unr	5	L2
j15	6	400	153	0.38	Targ	2	L2
j15	8	400	0	0	Unr	1	L2
j15	9	400	0	0	Eng	7	L2
j15	10	400	0	0	Eng	3	L2
j15	12	400	0	0	Jap	8	L2
j15	15	400	141	0.35	Targ	6	L2
j15	18	400	0	0	Jap	4	L2
j15	20	400	0	0	Targ	10	L2
j15	21	400	64	0.16	Jap	16	L2
j15	23	400	110	0.28	Eng	15	L2
j15	25	400	64	0.16	Jap	12	L2
j15	26	400	31	0.08	Eng	11	L2
j15	29	400	87	0.22	Targ	14	L2
j15	31	400	0	0	Unr	9	L2
j15	34	400	0	0	Unr	13	L2
j16	4	400	160	0.4	Targ	10	L2
j16	5	400	0	0	Jap	16	L2
j16	7	400	170	0.43	Eng	15	L2
j16	9	400	0	0	Jap	12	L2
j16	10	400	157	0.39	Eng	11	L2
j16	13	400	225	0.56	Targ	14	L2
j16	15	400	123	0.34	Unr	9	L2
j16	18	400	0	0	Unr	13	L2
j16	21	400	172	0.43	Unr	5	L2
j16	22	400	384	0.96	Targ	2	L2
j16	24	400	282	0.7	Unr	1	L2
j16	25	400	9	0.03	Eng	7	L2
j16	26	400	0	0	Eng	3	L2
j16	28	400	151	0.38	Jap	8	L2
j16	31	400	128	0.32	Targ	6	L2
j16	34	400	0	0	Jap	4	L2
j17	5	400	112	0.29	Targ	5	L2
j17	6	400	257	0.64	Eng	2	L2
j17	8	400	240	0.6	Targ	1	L2
j17	9	400	0	0	Jap	7	L2
j17	10	400	0	0	Jap	3	L2
j17	12	400	228	0.57	Unr	8	L2
j17	15	400	2	0.01	Eng	6	L2
j17	18	400	0	0	Unr	4	L2
j17	20	400	115	0.29	Eng	10	L2
j17	21	400	0	0	Unr	16	L2
j17	23	400	324	0.81	Jap	15	L2
j17	25	400	141	0.35	Unr	12	L2
j17	26	400	0	0	Jap	11	L2
j17	29	400	114	0.33	Eng	14	L2
j17	31	400	106	0.26	Targ	9	L2
j17	34	400	66	0.17	Targ	13	L2
j18	4	400	0	0	Eng	10	L2
j18	5	400	0	0	Unr	16	L2
j18	7	400	0	0	Jap	15	L2
j18	9	400	0	0	Unr	12	L2
j18	10	400	0	0	Jap	11	L2
j18	13	400	0	0	Eng	14	L2
j18	15	400	0	0	Targ	9	L2
j18	18	400	0	0	Targ	13	L2
j18	21	400	0	0	Targ	5	L2
j18	24	400	0	0	Targ	1	L2
j18	25	400	0	0	Jap	7	L2
j18	26	400	110	0.28	Jap	3	L2
j18	28	400	308	0.77	Unr	8	L2
j18	31	400	31	0.08	Eng	6	L2
j18	34	400	107	0.27	Unr	4	L2
j19	5	400	129	0.32	Eng	5	L2
j19	6	400	125	0.31	Jap	2	L2
j19	8	400	0	0	Eng	1	L2
j19	9	400	3	0.01	Unr	7	L2
j19	10	400	68	0.17	Unr	3	L2
j19	12	400	244	0.61	Targ	8	L2
j19	15	400	1	0	Jap	6	L2
j19	18	400	0	0	Targ	4	L2
j19	20	400	55	0.14	Jap	10	L2
j19	21	400	0	0	Targ	16	L2
j19	23	400	0	0	Unr	15	L2
j19	25	400	0	0	Targ	12	L2
j19	26	400	236	0.59	Unr	11	L2
j19	29	400	232	0.58	Jap	14	L2
j19	31	400	0	0	Eng	9	L2
j19	34	400	0	0	Eng	13	L2
j20	4	400	223	0.56	Jap	10	L2
j20	5	400	0	0	Targ	16	L2
j20	7	400	0	0	Unr	15	L2
j20	9	400	0	0	Targ	12	L2
j20	10	400	169	0.44	Unr	11	L2
j20	13	400	0	0	Jap	14	L2
j20	15	400	115	0.29	Eng	9	L2
j20	18	400	112	0.28	Eng	13	L2
j20	21	400	0	0	Eng	5	L2
j20	22	400	0	0	Jap	2	L2
j20	24	400	106	0.26	Eng	1	L2
j20	25	400	194	0.49	Unr	7	L2
j20	26	400	0	0	Unr	3	L2
j20	28	400	157	0.39	Targ	8	L2
j20	31	400	3	0.01	Jap	6	L2
j20	34	400	93	0.23	Targ	4	L2
j22	4	400	5	0.01	Unr	10	L2
j22	5	400	0	0	Eng	16	L2
j22	7	400	142	0.35	Targ	15	L2
j22	9	400	0	0	Eng	12	L2
j22	10	400	0	0	Targ	11	L2
j22	13	400	160	0.4	Unr	14	L2
j22	15	400	0	0	Jap	9	L2
j22	18	400	67	0.17	Jap	13	L2
j22	21	400	144	0.36	Jap	5	L2
j22	22	400	75	0.22	Unr	2	L2
j22	24	400	0	0	Jap	1	L2
j22	25	400	88	0.28	Targ	7	L2
j22	26	400	206	0.67	Targ	3	L2
j22	28	400	107	0.3	Eng	8	L2
j22	31	400	183	0.5	Unr	6	L2
j22	34	400	140	0.43	Eng	4	L2
j23	5	400	129	0.32	Unr	5	L2
j23	6	400	235	0.59	Targ	2	L2
j23	8	400	187	0.47	Unr	1	L2
j23	9	400	204	0.51	Eng	7	L2
j23	10	400	0	0	Eng	3	L2
j23	12	400	191	0.48	Jap	8	L2
j23	15	400	186	0.47	Targ	6	L2
j23	18	400	0	0	Jap	4	L2
j23	20	400	397	0.99	Targ	10	L2
j23	21	400	0	0	Jap	16	L2
j23	23	400	0	0	Eng	15	L2
j23	25	400	0	0	Jap	12	L2
j23	26	400	0	0	Eng	11	L2
j23	29	400	197	0.49	Targ	14	L2
j23	31	400	127	0.33	Unr	9	L2
j23	34	400	0	0	Unr	13	L2
j24	4	400	1	0	Targ	10	L2
j24	5	400	0	0	Jap	16	L2
j24	7	400	115	0.33	Eng	15	L2
j24	9	400	0	0	Jap	12	L2
j24	10	400	0	0	Eng	11	L2
j24	13	400	1	0	Targ	14	L2
j24	15	400	0	0	Unr	9	L2
j24	18	400	0	0	Unr	13	L2
j24	21	400	0	0	Unr	5	L2
j24	22	400	73	0.19	Targ	2	L2
j24	24	400	0	0	Unr	1	L2
j24	25	400	180	0.52	Eng	7	L2
j24	26	400	96	0.28	Eng	3	L2
j24	28	400	95	0.26	Jap	8	L2
j24	31	400	7	0.02	Targ	6	L2
j24	34	400	0	0	Jap	4	L2
j25	4	400	217	0.54	Jap	10	L2
j25	5	400	42	0.1	Targ	16	L2
j25	7	400	0	0	Unr	15	L2
j25	9	400	109	0.27	Targ	12	L2
j25	10	400	97	0.24	Unr	11	L2
j25	13	400	0	0	Jap	14	L2
j25	15	400	0	0	Eng	9	L2
j25	18	400	0	0	Eng	13	L2
j25	21	400	0	0	Eng	5	L2
j25	22	400	0	0	Jap	2	L2
j25	24	400	0	0	Eng	1	L2
j25	25	400	0	0	Unr	7	L2
j25	26	400	0	0	Unr	3	L2
j25	31	400	0	0	Jap	6	L2
j25	34	400	0	0	Targ	4	L2
j27	5	400	0	0	Jap	5	L2
j27	6	400	0	0	Unr	2	L2
j27	8	400	0	0	Jap	1	L2
j27	9	400	13	0.1	Targ	7	L2
j27	10	400	350	0.88	Targ	3	L2
j27	12	400	0	0	Eng	8	L2
j27	15	400	0	0	Unr	6	L2
j27	18	400	24	0.06	Eng	4	L2
j27	20	400	122	0.31	Unr	10	L2
